country,year,"GDP (current US$)","Patent applications", "residents,CO2 emissions (kt)","Scientific and technical journal articles"
Indonesia,2003,234772458819,201,316793,157,3099
Indonesia,2004,256836883305,227,337636,182,3441
Indonesia,2005,285868610017,235,341992,206,4069
Indonesia,2006,364570525998,288,345120,216,4324
Indonesia,2007,432216737775,0,375545,198,0
Indonesia,2008,510244548960,0,412498,219,0
Indonesia,2009,539579959053,437,451782,262,4103
Indonesia,2010,709190823347,516,0,0,5122
Indonesia,2011,846341442762,541,0,0,5297
Ireland,1990,48430542782,734,31408,902,4001
Ireland,1991,48903860535,786,31284,915,3794
Ireland,1992,54926080684,752,31324,946,2203
Ireland,1993,51487157975,788,31258,1003,229
Ireland,1994,56084271788,811,32706,1168,198
Ireland,1995,67912711541,840,32875,1218,150
Ireland,1996,74210771029,793,35537,1254,134
Ireland,1997,81368404700,796,36428,1331,144
Ireland,1998,88241376199,985,38145,1521,123
Ireland,1999,96614838435,996,40132,1459,118
Ireland,2000,97452184612,925,41221,1581,155
Ireland,2001,105273201631,1019,44030,1589,150
Ireland,2002,123167099020,914,43619,1629,68
Ireland,2003,158947453567,862,43201,1682,77
Ireland,2004,186492264266,787,43810,1936,58
Ireland,2005,202752241479,789,43392,2121,75
Ireland,2006,222958270103,838,43300,2303,97
Ireland,2007,258307438735,847,44584,2499,78
Ireland,2008,262030325151,931,43407,2662,76
Ireland,2009,224042002434,908,41643,2799,53
Ireland,2010,205903504499,733,0,0,59
Ireland,2011,220823245967,494,0,0,67
Israel,1990,52490325649,1052,33535,4968,2856
Israel,1991,59170288070,1087,34316,4873,2630
Israel,1992,65771216222,1400,41500,5234,2327
Israel,1993,65925582473,1318,45149,5575,2635
Israel,1994,74669718187,1261,47121,5559,2701
Israel,1995,95984455768,1266,54235,5741,3159
Israel,1996,105100103997,1218,54400,5751,2101
Israel,1997,108472199695,1441,63403,6048,1445
Israel,1998,109819478435,1950,62780,6021,3106
Israel,1999,110794986860,2053,62156,5929,3904
Israel,2000,124895151204,1599,62692,6290,5203
Israel,2001,122940533087,1248,65750,6234,8627
Israel,2002,112974376293,1213,63146,6381,5095
Israel,2003,118673283415,1329,65123,6525,4569
Israel,2004,126571173584,1544,63201,6462,4870
Israel,2005,133959001783,316,59212,6322,4808
Israel,2006,145479599623,257,67033,6559,7239
Israel,2007,167111803511,1615,67429,6633,6394
Israel,2008,201661649945,1528,69310,6607,6214
Israel,2009,194866363198,1387,67217,6305,5387
Israel,2010,217443434074,1450,0,0,5856
Israel,2011,242928731135,1360,0,0,5526
India,1990,326608014286,1147,690577,9200,2673
India,1991,274842348145,1267,737852,9517,2328
India,1992,293262352361,1248,783635,10100,2176
India,1993,284193716756,1209,814298,9763,2511
India,1994,333014463392,1588,864932,9928,3212
India,1995,366599645610,1545,920047,9371,5021
India,1996,399786888516,1661,1002225,9753,6901
India,1997,423160419440,1926,1043940,9618,8229
India,1998,428741030148,2247,1071912,9945,6707
India,1999,464344395617,2206,1144391,10191,2620
India,2000,474691627709,2206,1186664,10277,6332
India,2001,492378579616,2379,1203844,10801,8213
India,2002,522798457732,2693,1226792,11665,8772
